title,description,type,style,color,url,image
"Women's Black Blouse","Black satin puff sleeve ruffle ruched button up top","top","goth","black","https://www.depop.com/products/dani_ggg-antilia-femme-black-satin-puff/","https://media-photos.depop.com/b1/44456228/2943216441_f8cc10e8c5e24e04aa1b833367c1ffab/P0.jpg"
"Women's Black and Blue Blouse","Dead-stock blue, black, and purple express plaid blouse","top","twee","purple","https://www.depop.com/products/holyduds-amazing-office-siren-dead-stock-blue/","https://media-photos.depop.com/b1/46684926/2847583379_d1088c5eb5364b4e89b2e63800c1c29e/P0.jpg"
"Women's Black Skirt","Black lace ruffle skirt","bottom","goth","black","https://www.depop.com/products/liv_copp-black-lace-ruffle-skirt/","https://media-photos.depop.com/b1/15359016/2924864186_6002103d2ef745cf83bb099b065725d9/P0.jpg"
"Women's Blue Skirt","Reworked raw edge wool skirt","bottom","twee","blue","https://www.depop.com/products/aether003-reworked-raw-edge-wool-skirt/","https://media-photos.depop.com/b1/43385257/2337847489_26544666990a4b67ba83c7aecc605299/P0.jpg"
"Women's Black Dress","Black lace trim maxi slip dress with V-neck","dress","goth","black","https://www.depop.com/products/mirca26-black-lace-trim-maxi-slip/","https://media-photos.depop.com/b1/22876805/2919622011_7725168f32ff47318de139e6eb0edaf6/P0.jpg"
"Women's Multi Dress","Pendleton forest green plaid sleeveless mod dress","dress","twee","blue","https://www.depop.com/products/righteousbutcher-pendleton-forest-green-plaid-sleeveless/","https://media-photos.depop.com/b1/2009219/2798589260_8805ea578cbc4063b1db443a5543846b/P0.jpg"
"Women's Black and Silver Footwear","V-creeper platform black buckle shoes","shoes","goth","black","https://www.depop.com/products/larasthrftyclst-demonia-v-creeper-platform-black-buckle/","https://media-photos.depop.com/b1/48148051/2910747106_9cc427e35cf64b91b97d662372ce092d/P0.jpg"
"Women's Brown Loafers","Women leather brown mary janes","shoes","twee","brown","https://www.depop.com/products/princesspeachee-women-leather-brown-mary-janes/","https://media-photos.depop.com/b1/18464973/repop_226962879_2468547060/2939977297_97cdcbd5d0594283bdc030c54f152514/P0.jpg"
"Moth Skull Pendant","New moth skull pendant necklace on black cord","jewelry","goth","black","https://www.depop.com/products/vtgjewelry-new-moth-skull-pendant-necklace-e94f/","https://media-photos.depop.com/b1/41458019/2936726921_c1d84e2e537443aa81f79097d46b5668/P0.jpg"
"Fairy Locket","Fairy locket with handmade doll part","jewelry","twee","white","https://www.depop.com/products/odddoll-fairy-locket-handmade-doll-part/","https://media-photos.depop.com/b1/40065300/2730682613_97d4c780c9fb4134b0a54f805902223a/P0.jpg"
"Cross Body Bag","Black and white cross bag with a touch of grunge and goth style","accessory","goth","black","https://www.depop.com/products/coveyscloset-black-and-white-cross-bag/","https://media-photos.depop.com/b1/35338648/2942675413_6c1c9ff605bb4058a72239558f59e9d1/P0.jpg"
"Brown Bag","Brown rainbow button mini micro bag","accessory","twee","brown","https://www.depop.com/products/love_light-y2k-gyaru-twee-brown-rainbow/","https://media-photos.depop.com/b1/344512507/2905614830_70ea23888e704e538803608908514037/P0.jpg"